#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      420.6   287.0   160.7   235.5   253.3   403.6   474.9   508.0   530.2   553.2   584.4   633.1   757.0  3491.5 12378.0  19496.9    19454
read      437.8   365.5   173.5   270.2   298.1   415.8   461.5   486.8   504.3   526.6   551.9   600.6   748.4  5883.8 14879.0   7166.8     7190
read      381.8   224.1   160.7   221.8   235.4   337.5   414.7   464.6   500.2   538.4   580.6   636.5   769.9  2134.9  8160.3  47708.3    47657
read      378.7   203.7   160.7   221.0   233.9   331.7   413.5   467.6   505.2   542.8   584.0   636.9   750.9  1696.0  7792.2  44481.6    44399
read      435.9   509.0   187.4   271.4   298.4   403.9   447.0   469.3   487.7   507.1   537.6   584.2   725.7  7886.6 24888.5   6486.4     6481
read      437.2   430.6   173.5   276.8   303.3   406.3   450.4   473.9   493.4   514.5   544.5   590.9   742.4  6973.6 20813.9   5806.0     5807
read      331.3   190.7   160.7   218.0   228.1   296.0   341.0   372.7   399.5   433.3   475.7   539.0   674.3  1972.8  6796.5  83053.4    83137
read      437.9   294.8   173.5   258.2   285.1   421.5   470.2   498.3   518.0   541.3   573.0   622.8   766.5  4005.4 12546.2   9636.2     9580
read      400.2   239.2   160.7   225.2   240.5   365.8   447.9   493.0   523.5   556.0   593.1   647.0   780.7  1861.8 10610.8  37382.5    37385
read      400.7   230.5   160.7   224.8   240.1   365.1   453.4   501.0   530.5   560.9   593.9   641.5   766.9  2002.3  8820.6  33655.4    33706
read      398.9   270.5   160.7   224.4   239.4   357.2   448.3   498.7   530.1   561.8   595.5   643.7   767.3  2400.0  9464.0  35251.5    35204
read      374.6   226.9   160.7   220.6   233.1   324.1   399.7   453.5   493.1   535.1   579.5   637.5   776.1  2207.8  7062.6  50394.0    50438
read      375.8   223.1   160.7   220.8   233.3   326.5   403.3   457.9   497.6   539.2   582.3   637.9   767.0  1702.4  8140.7  48985.5    48878
read      383.2   207.6   160.7   221.2   234.3   335.3   420.4   475.2   512.8   549.2   589.4   642.2   776.6  1782.4  7246.2  42636.8    42682
read      406.7   236.2   160.7   227.0   242.8   375.2   464.7   507.0   533.3   561.4   592.9   640.8   765.5  2573.7  9252.8  27395.9    27416
read      353.2   210.3   160.7   219.3   230.3   309.7   368.8   411.6   446.3   487.2   534.0   593.1   731.1  1946.3  8184.9  64438.0    64424
read      354.7   229.7   160.7   219.6   230.9   310.7   370.4   413.6   447.9   488.6   536.1   593.8   729.5  1996.9  8700.7  64200.7    64364
read      444.9   467.3   187.4   281.0   307.1   409.3   452.7   475.1   494.6   516.5   546.1   594.3   803.7  8230.1 15732.2   5446.4     5481
read      418.8   227.6   173.5   230.3   248.4   399.1   474.6   512.8   537.3   564.8   596.3   645.4   782.3  2198.0  8761.1  26224.4    26227
read      417.9   231.9   160.7   228.9   246.2   393.7   474.2   513.5   539.4   567.7   599.7   650.9   784.7  2644.1  9709.5  26588.1    26586
read      329.3   207.4   160.7   217.2   227.6   294.4   338.1   369.0   394.8   427.6   469.1   532.4   675.0  2000.6  8020.0  86324.9    86286
read      410.9   228.1   160.7   229.8   246.2   387.4   470.5   508.9   533.0   558.7   588.5   635.9   759.5  2298.3 10048.7  24420.6    24452
read      406.2   247.3   160.7   227.5   243.3   376.3   464.6   507.1   532.2   558.7   589.7   636.7   747.4  2514.5 11833.4  26851.1    26832
read      403.3   248.6   160.7   225.7   241.0   367.3   459.0   503.8   531.6   560.4   592.2   640.2   767.2  2326.9  9994.2  29726.2    29795
read      376.8   223.1   160.7   220.9   233.7   328.9   407.4   462.2   499.5   538.3   580.6   635.4   757.0  1759.7  8328.2  46096.8    46224
read      328.4   163.4   160.7   217.0   227.5   294.3   338.1   370.0   396.7   430.8   473.9   537.0   666.4  1568.5  5561.8  84696.2    84587
read      353.4   188.2   160.7   219.2   230.2   309.7   370.0   414.4   449.6   491.0   538.5   597.8   731.5  1836.6  6525.2  63388.3    63389
read      375.4   240.8   160.7   221.1   233.8   328.3   405.8   459.5   497.1   535.5   576.1   629.2   742.0  1686.5  7739.1  46962.2    46953
read      325.4   205.5   160.7   216.8   227.3   292.5   333.8   363.1   387.4   418.9   459.8   520.7   657.3  1849.9  8132.3  90521.9    90536
read      441.1   308.8   173.5   250.8   274.1   426.8   480.9   508.0   528.7   549.9   581.2   629.6   772.4  4487.4 12355.2  12515.9    12508
read      401.7   266.4   160.7   226.4   242.1   359.8   445.5   495.6   527.9   561.4   599.1   654.7   793.0  2387.0 10672.4  38398.5    38491
read      320.3   188.7   160.7   216.8   227.0   290.3   329.1   356.1   377.6   405.7   444.9   503.1   639.4  1768.6  7226.9  97743.9    97806
read      442.4   369.8   173.5   251.3   275.1   428.3   481.7   509.2   530.0   551.3   583.1   630.2   762.4  4313.6 16075.3  11808.6    11813
read      397.4   391.3   160.7   227.3   242.8   360.6   440.8   486.1   516.4   547.6   584.8   639.9   797.4  2117.8  8211.4  39668.1    39665
read      371.1   248.2   160.7   223.0   236.8   328.0   396.4   441.4   474.3   511.9   552.4   610.0   742.0  2321.4 10227.6  53468.9    53571
read      357.7   563.3   160.7   221.8   234.3   316.7   376.2   416.9   447.8   483.8   526.7   583.9   728.5  2013.3  7782.2  63247.9    63215
read      340.8   390.4   160.7   220.9   232.5   305.0   353.0   387.1   413.9   447.5   489.6   547.9   686.0  1861.6  7958.9  78672.4    78767
read      430.0   363.4   173.5   261.3   288.5   410.8   456.5   480.7   498.4   519.4   546.4   590.4   731.8  4055.3 19050.8   8662.6     8615
read      350.1   189.7   160.7   220.9   232.8   310.4   365.8   405.0   437.6   475.8   521.9   582.8   719.5  1614.2  5767.6  67910.4    67903
read      424.8   281.9   160.7   239.8   259.1   413.5   472.7   502.3   523.0   545.4   576.0   624.1   754.5  3684.5 12210.9  16420.5    16398
read      369.0   352.2   160.7   223.1   236.8   326.8   394.7   439.6   472.7   509.6   549.6   607.6   747.8  1885.9  7760.1  53400.5    53434
read      388.3   239.6   160.7   224.8   239.2   345.4   430.6   478.0   508.9   540.3   576.5   628.4   762.5  2471.6  9306.8  38185.6    38068
read      432.9   345.4   173.5   260.2   287.3   413.5   457.5   481.3   500.0   522.7   550.0   597.5   748.9  5586.8 13414.6   9103.7     9130
read      346.2   179.6   160.7   220.6   232.1   308.4   362.1   399.8   430.4   465.9   508.3   568.5   714.4  1697.9  7277.9  69330.2    69227
