Timestamp start: 1684982757549
Timestamp end: 1684984558076

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      412.8   238.1   160.7   228.4   244.3   379.3   473.9   519.6   546.3   575.0   608.0   657.1   783.1  1968.8 10084.9  27395.7    27416
read      359.0   218.7   160.7   221.1   233.7   315.1   373.5   416.9   452.3   495.7   544.2   607.5   740.4  1897.2  8422.4  64487.6    64424
read      354.7   169.3   160.7   220.1   232.1   312.6   370.7   414.0   449.0   491.4   539.8   599.4   731.3  1915.9  5206.4  64364.1    64364
read      440.3   400.0   187.4   279.7   307.1   411.8   454.5   477.3   495.5   515.8   543.5   590.6   750.7  6876.1 15091.4   5506.9     5481
read      422.7   269.2   173.5   231.2   249.6   399.3   478.4   518.9   543.7   572.1   605.0   653.9   781.5  2269.3 10491.4  26163.3    26227
read      424.3   307.1   160.7   232.4   250.4   397.8   480.3   522.5   547.7   576.3   610.1   660.7   784.0  2583.4 11665.4  26660.8    26586
read      339.9   186.1   160.7   222.0   235.2   308.4   352.3   382.5   405.8   437.1   479.3   541.1   681.9  1871.8  7927.7  86253.2    86286
read      421.8   261.3   160.7   232.7   249.7   395.8   484.8   525.7   550.2   577.2   608.9   657.3   782.7  2398.4 11952.8  24468.2    24452
read      417.6   242.8   173.5   229.9   246.0   383.7   481.1   524.6   550.9   579.6   614.3   666.7   788.1  2801.3  7859.9  26772.9    26832
read      412.4   244.9   160.7   228.7   244.6   373.3   473.0   519.9   547.6   576.6   610.6   661.3   781.6  2482.0 10631.3  29659.8    29795
read      383.0   220.7   160.7   223.2   237.1   334.5   414.9   469.7   509.0   546.1   587.9   643.7   773.0  2047.8  9514.7  46202.0    46224
read      337.3   198.3   160.7   220.3   231.9   304.4   348.9   380.6   405.2   437.6   481.3   543.7   680.0  1671.8  6752.0  84506.1    84587
read      359.0   181.6   160.7   221.6   234.4   316.6   376.4   421.0   456.8   499.6   547.2   607.6   732.2  1349.3  6459.5  63352.1    63389
read      387.7   279.6   160.7   223.2   237.4   334.9   416.0   471.7   512.7   551.5   594.6   653.2   791.2  2833.9 10300.3  46945.3    46953
read      331.8   214.2   160.7   220.1   231.5   300.7   342.3   370.9   394.6   424.5   464.1   525.6   661.0  1661.6  8708.4  90566.3    90536
read      435.6   292.4   173.5   246.6   269.9   425.1   479.2   506.2   525.3   545.0   574.1   619.7   746.0  3924.8 12785.0  12526.0    12508
read      401.2   286.1   160.7   224.9   240.1   357.1   443.8   496.0   529.6   563.7   602.1   657.8   789.1  2721.1 12016.5  38421.8    38491
read      326.9   161.9   160.7   220.2   231.5   299.4   339.1   365.5   386.6   413.3   450.6   506.4   644.5  1667.0  7061.1  97683.6    97806
read      439.6   393.1   173.5   249.5   273.7   425.2   475.3   503.0   522.9   544.4   574.9   622.6   755.1  4243.9 18099.5  11805.1    11813
read      399.3   246.0   160.7   225.3   240.5   358.5   442.9   492.8   525.8   559.6   597.7   652.0   787.3  2612.9  8592.6  39604.2    39665
read      372.0   197.7   160.7   222.0   235.6   325.2   397.0   447.7   486.3   528.6   573.0   629.9   747.3  1841.5  6500.2  53521.0    53571
read      359.7   211.3   160.7   221.1   233.7   315.5   374.8   419.9   456.0   499.7   548.1   610.8   737.6  1723.9  9283.5  63434.0    63215
read      338.7   158.2   160.7   220.2   231.8   304.3   350.6   384.7   412.5   448.3   494.1   555.8   685.3  1725.4  4595.8  78802.4    78767
read      441.2   321.8   173.5   262.1   290.9   424.3   470.8   497.6   515.9   537.6   566.2   614.1   746.0  4322.6 16036.6   8639.4     8615
read      354.8   199.7   160.7   221.2   233.9   314.5   370.4   410.2   442.6   483.2   531.9   593.2   727.0  1753.5  7957.6  67922.3    67903
read      432.7   266.4   160.7   240.2   259.8   423.6   487.3   518.3   537.7   560.3   588.8   636.4   773.3  3077.5  9533.0  16377.8    16398
read      375.2   226.7   160.7   221.8   235.2   325.1   397.9   450.9   491.4   533.9   579.2   637.5   769.0  2297.3  9484.2  53377.6    53434
read      394.1   247.1   160.7   223.9   238.4   346.4   437.9   492.1   526.5   560.2   595.9   650.1   778.1  2229.6 10486.1  38105.4    38068
read      431.0   317.9   173.5   257.8   284.5   413.1   458.4   482.9   501.0   522.9   548.0   594.8   741.1  6064.1 11022.7   9162.9     9130
read      351.2   191.1   160.7   220.8   233.2   312.9   367.5   405.2   436.4   475.0   522.0   583.2   715.6  1753.3  6735.9  69198.2    69227
read      393.2   230.6   160.7   224.5   239.0   346.7   439.0   491.9   524.9   556.9   591.9   641.4   762.1  2534.0  9271.7  37538.3    37496
read      336.7   191.7   160.7   220.0   231.5   303.2   348.1   380.1   405.0   438.0   481.6   544.6   684.1  1676.4  7600.1  83894.9    83925
read      377.3   206.4   160.7   222.8   236.7   328.9   403.0   456.2   495.3   535.5   580.2   639.3   779.2  1830.0  8145.3  51027.3    51037
read      404.1   238.2   160.7   226.4   241.6   361.4   457.9   508.9   538.0   568.8   603.8   657.7   784.9  2434.3  9122.5  33639.3    33690
read      376.0   223.9   160.7   222.6   236.4   327.9   401.2   454.5   493.5   534.4   578.0   634.3   753.9  2154.5  8730.4  51431.3    51474
read      344.7   194.9   160.7   220.1   231.9   306.9   357.5   394.1   424.3   462.3   510.4   575.2   701.0  1437.4  6734.9  73657.9    73708
read      326.6   165.6   160.7   220.1   231.3   299.1   338.9   365.4   386.5   412.9   449.6   504.5   640.9  1656.4  5678.6  98510.9    98618
